charter_id,specificity,testability,risk_coverage,clarity,actionability,notes
CHR-R2-001,3,3,3,3,3,
CHR-R2-002,3,3,3,3,3,
CHR-R2-003,3,3,3,3,3,
CHR-R2-004,1,2,2,3,2,
CHR-R2-005,3,2,3,3,3,
CHR-R2-006,2,2,2,3,3,
CHR-R2-007,2,2,2,3,2,
CHR-R2-008,2,2,2,3,2,
CHR-R2-009,3,2,3,3,3,
CHR-R2-010,3,3,3,3,3,
CHR-R2-011,3,2,3,3,3,
CHR-R2-012,3,3,3,3,3,
CHR-R2-013,3,3,3,3,3,
CHR-R2-014,2,2,3,3,2,
CHR-R2-015,3,3,3,3,3,
CHR-R2-016,3,3,3,3,3,
CHR-R2-017,2,2,3,3,2,
CHR-R2-018,3,2,3,3,3,
CHR-R2-019,3,2,3,3,2,
CHR-R2-020,3,2,2,3,3,
CHR-R2-021,3,3,3,3,3,
CHR-R2-022,3,2,3,3,3,
CHR-R2-023,3,3,3,3,3,
CHR-R2-024,2,2,3,3,3,
CHR-R2-025,3,3,3,3,3,
CHR-R2-026,3,3,3,3,3,
CHR-R2-027,3,3,3,3,3,
CHR-R2-028,3,2,3,3,2,
CHR-R2-029,3,2,3,3,3,
CHR-R2-030,3,2,3,3,3,
CHR-R2-031,3,3,3,3,3,
CHR-R2-032,3,3,2,3,3,
CHR-R2-033,3,3,3,3,3,
CHR-R2-034,2,2,2,3,3,
CHR-R2-035,3,3,3,3,3,
CHR-R2-036,3,3,3,3,3,
CHR-R2-037,3,2,3,3,2,
CHR-R2-038,2,2,2,3,2,
CHR-R2-039,2,2,2,3,3,
CHR-R2-040,3,3,3,3,3,
CHR-R2-041,2,2,2,3,2,
CHR-R2-042,3,3,3,3,3,
CHR-R2-043,2,2,2,3,2,
CHR-R2-044,3,2,3,3,3,
CHR-R2-045,3,2,3,3,3,
CHR-R2-046,2,2,2,3,3,
CHR-R2-047,3,2,2,3,3,
CHR-R2-048,3,2,3,3,3,
CHR-R2-049,2,2,2,3,2,
CHR-R2-050,1,2,2,3,2,
CHR-R2-051,3,3,3,3,3,
CHR-R2-052,3,2,3,3,3,
CHR-R2-053,3,3,3,3,3,
CHR-R2-054,3,2,3,3,3,
CHR-R2-055,3,2,2,3,3,
CHR-R2-056,3,3,3,3,3,
CHR-R2-057,3,2,2,3,3,
CHR-R2-058,3,3,3,3,3,
CHR-R2-059,3,2,3,3,3,
CHR-R2-060,3,3,3,3,3,
CHR-R2-061,3,2,2,3,2,
CHR-R2-062,3,2,3,3,3,
CHR-R2-063,3,3,3,3,3,
CHR-R2-064,3,2,3,3,3,
CHR-R2-065,2,2,2,3,3,
CHR-R2-066,3,2,3,3,2,
CHR-R2-067,3,3,3,3,3,
CHR-R2-068,3,2,3,3,3,
CHR-R2-069,2,2,2,3,3,
CHR-R2-070,2,2,2,3,3,
CHR-R2-071,2,2,3,3,2,
CHR-R2-072,3,2,3,3,3,
CHR-R2-073,3,3,2,3,3,
CHR-R2-074,2,2,2,3,3,
CHR-R2-075,3,2,2,3,3,
